## RunInfo	version:1.2.0-a	annotated_features:27812	total_fragments:2717	pair_mapped:0	pair_mixed:0	single_mapped:2717	unmapped:0	unique:854	ambig:1863	overlap_unique:883	overlap_ambig:1834
transcript	transcript_length	final_prop	init_prop
HML2_1q22	9085	0.441	0.18
HML2_3q12.3	9028	0.164	0.143
__no_feature	0	0.161	0.114
HML2_14q11.2	5595	0.045	0.046
HML2_8p23.1c	9433	0.031	0.017
HML2_9q34.11	7220	0.026	0.026
HML2_19q13.12b	9342	0.024	0.024
HML2_8p23.1d	9408	0.022	0.016
HML2_1q23.3	9138	0.015	0.019
HML2_11q12.3a	2416	0.008	0.008
HML2_3q13.2	9064	0.006	0.02
HML2_4p16.1a	9493	0.006	0.006
HML2_7p22.1	17785	0.006	0.034
HML2_12q24.33	5730	0.005	0.007
L1FLnI_19q13.12c	10155	0.005	0.005
HML2_10q24.2	7082	0.004	0.008
HML2_3q21.2	9049	0.004	0.008
HML2_1q21.3	1777	0.004	0.005
HML2_7q34	3923	0.003	0.003
HML2_8p23.1a	4798	0.003	0.04
HML2_20q11.22	6522	0.002	0.002
HML2_11q12.3b	6987	0.002	0.003
HML2_11q12.1	5480	0.002	0.002
HML2_8p23.1f	7276	0.002	0.012
HML2_11p15.4a	9554	0.002	0.005
HML2_19q13.41a	3317	0.002	0.002
HML2_6q25.1	2732	0.001	0.001
HML2_22q11.23	10047	0.001	0.007
HML2_1q32.2	4090	0.001	0.002
HML2_14q32.33	2883	0.001	0.001
HML2_4p16.3a	4271	0.0	0.0
HML2_19q11	8456	0.0	0.011
HML2_3q27.2	9085	0.0	0.01
HML2_21q21.1	8209	0.0	0.002
HML2_16p11.2a	2653	0.0	0.001
HML2_12q14.1	9362	0.0	0.017
HML2_1p31.1	6278	0.0	0.01
L1FLnI_8q24.3g	10121	0.0	0.0
HML2_5q33.3	9085	0.0	0.046
HML2_6q14.1	9327	0.0	0.026
HML2_Xq28b	7251	0.0	0.0
HML2_8p23.1e	1993	0.0	0.007
HML2_11q22.1	9308	0.0	0.017
HML2_22q11.21	9086	0.0	0.017
HML2_5p13.3	9351	0.0	0.008
HML2_Yp11.2	6939	0.0	0.0
HML2_Xq28a	2621	0.0	0.0
HML2_11q23.3	9160	0.0	0.005
HML2_5p12	9134	0.0	0.0
HML2_1q24.1	5561	0.0	0.0
HML2_3q24	3920	0.0	0.011
HML2_8q24.3b	7589	0.0	0.0
HML2_4q35.2	6908	0.0	0.0
HML2_4p16.3b	9589	0.0	0.001
HML2_7q22.2	3918	0.0	0.005
HML2_8p23.1b	4510	0.0	0.01
HML2_8q24.3a	2993	0.0	0.006
HML2_4q32.1	2139	0.0	0.008
HML2_10p14	9368	0.0	0.001
HML2_19p12b	6649	0.0	0.002
L1FLnI_Yq11.221o	10015	0.0	0.003
HML2_19q13.12a	3673	0.0	0.001
HML2_16p11.2b	2651	0.0	0.001
HML2_4p16.1b	9505	0.0	0.0
HML2_2q21.1	2985	0.0	0.001
L1FLnI_2p22.2e	10499	0.0	0.001
HML2_3p25.3	6802	0.0	0.001
L1FLnI_6q14.1j	9492	0.0	0.001
L1FLnI_Xq21.1o	10391	0.0	0.001
HML2_19p13.3	2448	0.0	0.002
HML2_3p12.3	8686	0.0	0.001
HML2_6q11.1	5512	0.0	0.0
HML2_19q13.42	4596	0.0	0.0
L1FLnI_6q23.3k	9490	0.0	0.0
L1FLnI_16p13.3	10045	0.0	0.0
HML2_4q32.3	6826	0.0	0.0
L1FLnI_1q42.13d	9312	0.0	0.0
HML2_1p34.3	2031	0.0	0.0
HML2_5q33.2	8609	0.0	0.0
